사고유형,사고위치(지번),사고장소,119출동,위험요인,선정연도,정제우편번호,정제WGS84위도,정제WGS84경도
교통사고,경기도 시흥시 은행동 600-3,시흥대로-은행로 합류지점,0회(사고위험),은행로와 시흥대로 합류지점으로 우측 시야가 제한되어 교통사고 위험,2021년,,37.4323607459,126.7930761115
수난사고,경기도 군포시 둔대동 470,반월호수 내 둘레길,3회(사고위험),산책시 안전사고 및 수난사고 위험,2021년,15892,37.3215277329,126.8890195855
교통사고,경기도 화성시 봉담읍 상기리 산183-12,기천저수지,2회(사고위험),도로 곡선구간으로 교통사고 위험,2021년,18333,37.1961206944,126.9088832679
생활안전(뱀),경기도 화성시 송동 727,동탄호수공원 일대,14회(사고빈발),산책로에 뱀이 빈번하게 출몰 생활안전사고 발생 위험,2021년,18497,37.1669237951,127.1024279376
산악사고,경기도 이천시 마장면 장암리 산 144,도드람산 정상(효자봉) 등산로,7회(사고빈발),경사지 안전장치 미설치 및 임시 안전로프가 헐거워 낙상사고 위험,2021년,17383,37.2697975156,127.3913325302
교통사고,경기도 김포시 구래동 6920-1,한가람초교 사거리,4회(사고위험),3차선 도로로 차량 통행량이 많고 차선 혼동으로 교통사고 위험,2021년,,37.6466757054,126.6193346837
교통사고,경기도 광주시 초월읍 대쌍령리 산21-7,성남이천로 쌍동분기점,14회(사고빈발),도로 합류 구간으로 교통사고 위험,2021년,12735,37.3818874045,127.2891532830
생활안전(멧돼지),경기도 광주시 남한산성면 산성리 산11-1,남한산성 인근 등산로,11회(사고빈발),등산로에 멧돼지가 빈번하게 출몰 생활안전사고 발생 위험,2021년,12700,37.4744880780,127.1937579575
수난사고,경기도 안성시 죽산면 용설리 516-12,용설저수지(용설낚시터),4회(사고위험),수면으로의 접근이 쉬워 수난사고 위험,2021년,17523,37.0557959211,127.4461919068
산악사고,경기도 하남시 배알미동 산13-6,유길준묘 등산로 약수사거리,41회(사고빈발),약수터 이후 우거진 숲으로 등산객의 조난 및 실족사고 위험,2021년,13029,37.5202236044,127.2511551499
교통사고,경기도 의왕시 왕곡동 260,과천봉담간 고속화도로 의왕TG,22회(사고빈발),의왕TG 봉담방향(하행선) 내리막으로 교통사고 위험,2021년,16066,37.3483405338,126.9837688820
수난사고,경기도 오산시 누읍동 1,오산시 맑음터 공원 맞은편 오산천 하류,6회(사고빈발),우천시 하천범람 등 수난사고 위험,2021년,,37.1371678417,127.0610405221
수난사고,경기도 여주시 천송동 575-10,여주대교,28회(사고빈발),차도(대교)와 인도(연인교)사이 이격공간으로 추락 및 수난사고 위험,2021년,12613,37.2989904387,127.6717545203
수난사고,경기도 여주시 하동 398,세종대교,11회(사고빈발),대교 양쪽난간 추락 및 수난사고 위험,2021년,,37.3070866980,127.6233542142
산악사고,경기도 양평군 용문면 신점리 산99-6,용문산(마당바위),18회(사고빈발),"등산로 표시 미비로 등산로가 아닌 길로 등반, 조난사고 위험",2021년,12510,37.5503056481,127.5745154191
생활안전(벌쏘임),경기도 양평군 단월면 석산리 산41,소리산 인근 등산로,6회(사고빈발),벌쏘임 출동이 많은 지역으로 생활안전사고 발생 위험,2021년,12525,37.6363957510,127.6125346788
화재위험,경기도 양평군 지평면 일신리 1336-9,구둔역 폐역(목조문화재),0회(사고위험),화재 발생시 빠른 연소확대로 목조문화재 훼손 위험,2021년,12542,37.4375147805,127.6888633753
화재위험,경기도 양평군 용문면 광탄리 239-1,봉황정(목조문화재),0회(사고위험),화재 발생시 빠른 연소확대로 목조문화재 훼손 위험,2021년,12513,37.5116647206,127.6349909064
화재위험,경기도 양평군 청운면 갈운리 산32,이춘면효자정문(목조문화재),0회(사고위험),화재 발생시 빠른 연소확대로 목조문화재 훼손 위험,2021년,12532,37.5412707505,127.7728503086
화재위험,경기도 양평군 용문면 덕촌리 산4-2,운계서원(목조문화재),0회(사고위험),화재 발생시 빠른 연소확대로 목조문화재 훼손 위험,2021년,12511,37.5150519015,127.6008234330
교통사고,경기도 과천시 주암동 13-4,"양재대로,추사로 합류지점",3회(사고위험),양재대로를 중심으로 인근 합류 도로가 많아 교통사고 위험,2021년,,37.4598100377,127.0326334284
교통사고,경기도 고양시 덕양구 덕은동 269-4,구룡사거리,7회(사고빈발),"강변북로, 자유로, 제2자유로 많은 유입차량으로 교통사고 위험",2021년,10544,37.5801474329,126.8762662445
교통사고,경기도 고양시 일산동구 성석동 1566-3,마골오거리,10회(사고빈발),고봉동방향 내리막길 커브구간 과속으로 교통사고 위험,2021년,,37.7078789107,126.8094924999
산악사고,경기도 의정부시 장암동 산 154,수락산 기차바위 일대,13회(사고빈발),가파른 경사로 인하여 미끄럼 및 추락사고 위험,2021년,11725,37.7027627223,127.0805311362
생활안전(멧돼지),경기도 의정부시 의정부동 산4-2,사패산 둘레길,165회(사고빈발),등산로에 멧돼지가 빈번하게 출몰 생활안전사고 발생 위험,2021년,11622,37.7385340124,127.0303851803
생활안전(멧돼지),경기도 의정부시 호원동 산24-1,북한산국립공원 일대,0회(사고위험),등산로에 멧돼지가 빈번하게 출몰 생활안전사고 발생 위험,2021년,,37.7284714646,127.0326290581
산악사고,경기도 남양주시 호평동 산 1-1,천마산 정상 및 하산로,8회(사고빈발),우천시 토사 유출로 등산로 훼손 및 급경사로 인한 실족사고 위험,2021년,12141,37.6786787091,127.2681423328
산악사고,경기도 파주시 적성면 객현리 산 181,감악산 정상에서 까지봉 능선 등산로,16회(사고빈발),정상에서 까치봉 인근 실족 및 조난사고 위험,2021년,10804,37.9442341650,126.9667763294
수난사고,경기도 파주시 파평면 율곡리 88-2,율곡습지 및 마을 도로,1회(사고위험),집중호우로 임진강 범람 위험시 상습 침수 및 수난사고 위험,2021년,10809,37.8974998508,126.8195870892
교통사고,경기도 파주시 월롱면 영태리 585-6,통일로 사오백문 일대,13회(사고빈발),통일로(국도) 및 지방도 합류지점(커브구간)으로 교통사고 위험,2021년,10945,37.7754731483,126.7891814695
산악사고,경기도 구리시 아천동 산54,아차산 3층 석탑 인근,7회(사고빈발),등산로가 없음을 인지 못한 상태로 하산 중 잦은 조난사고 위험,2021년,11957,37.5665484938,127.1057970035
교통사고,경기도 포천시 선단동 511-1,장승사거리,7회(사고빈발),교차로 지역으로 좌우회전 차량 교통사고 위험,2021년,,37.8498450359,127.1635573087
수난사고,경기도 양주시 장흥면 교현리 211-6,장포교 주변,2회(사고위험),집중호우 시 하천 범람으로 인한 수난사고 위험,2021년,11523,37.7103935728,126.9694706445
교통사고,경기도 동두천시 지행동 716,동두천소방서 및 상가앞 도로상,0회(사고위험),불법 주·정차로 인해 아파트 진입차량 교통사고 위험,2021년,,37.8925096841,127.0513006513
산악사고,경기도 가평군 북면 도대리 산 266,명지산 장막봉 일대 등산로,13회(사고빈발),이정표 설치가 미흡한 지역으로 조난사고 위험,2021년,12401,37.9414860045,127.4575547764
수난사고,경기도 연천군 군남면 삼거리 716-1,북삼교 인근,6회(사고빈발),진입로(콘크리트) 유실로 야간에 낙상 및 수난사고 위험,2021년,11006,38.0894847923,127.0098060676
