학교ID,학교명,소재지도로명주소,위도,경도
B000012606,오산고등학교,경기도 오산시 청학로 43,37.1543079675,127.0626050821
B000013548,세마고등학교,경기도 오산시 수목원로 559-17,37.1805473961,127.0409929128
B000023743,가수중학교,경기도 오산시 가수1로 10,37.1451074667,127.0537173743
B000023744,마루초등학교,경기도 오산시 초평중앙로 52,37.1374611870,127.0459934548
B000023997,세담초등학교,경기도 오산시 죽담2로 8,37.1646505301,127.0490746815
B000024638,대양초등학교,경기도 화성시 남양읍 시청로32번길 80,37.2002903715,126.8217358348
B000024643,치동고등학교,경기도 화성시 동탄순환대로 881-15,37.2078202605,127.0916989118
B000024645,다원중학교,경기도 화성시 동탄순환대로 754-12,37.2105698570,127.1050841942
B000024646,늘봄초등학교,경기도 화성시 동탄대로24길 51,37.2174542416,127.1098159782
B000024648,한백고등학교,경기도 화성시 동탄순환대로26길 21,37.2076137647,127.1134391184
B000024650,치동중학교,경기도 화성시 동탄순환대로 881-9,37.2087037376,127.0917279612
B000024651,다원초등학교,경기도 화성시 동탄대로24길 112,37.2126915966,127.1115761429
B000024652,동탄중앙고등학교,경기도 화성시 동탄대로시범길 167,37.2012581152,127.1104627952
B000024654,한백중학교,경기도 화성시 동탄순환대로26길 26,37.2065160154,127.1140419989
B000024655,치동초등학교,경기도 화성시 동탄순환대로 881-34,37.2065576951,127.0915254026
B000024656,이산고등학교,경기도 화성시 동탄기흥로353번길 61,37.1907402411,127.0869685734
B000024657,청계중학교,경기도 화성시 동탄대로시범길 47,37.1994037544,127.1030802540
B000024658,영천초등학교,경기도 화성시 동탄영천로 36,37.2056974972,127.1036558396
B000024659,창의고등학교,경기도 화성시 동탄신리천로1길 66,37.1801985514,127.1207550168
B000024661,동탄중학교,경기도 화성시 동탄대로시범길 97,37.1989372710,127.1091788628
B000024662,한백초등학교,경기도 화성시 동탄순환대로26길 37,37.2083660312,127.1146974915
B000024665,이산중학교,경기도 화성시 동탄감배산로 51,37.1912617118,127.0891741007
B000024666,무봉초등학교,경기도 화성시 동탄청계로 303-34,37.2029471468,127.1170351695
B000024667,정현고등학교,경기도 화성시 동탄산척로 93-10,37.1729286837,127.1110250588
B000024669,동탄목동중학교,경기도 화성시 동탄순환대로20길 52,37.1887527694,127.1263794550
B000024670,아인초등학교,경기도 화성시 동탄대로시범길 219,37.2007992383,127.1052703253
B000024671,신동고등학교,경기도 화성시 동탄신동2길 5,37.1754443608,127.1368199245
B000024674,화성청계초등학교,경기도 화성시 동탄대로시범길 39,37.1993635773,127.1018522097
B000024675,이솔고등학교,경기도 화성시 동탄대로 7길 10,37.1667454749,127.1111693854
B000024677,화성신동중학교,경기도 화성시 동탄신동1길 11,37.1746574405,127.1301211753
B000024678,동탄중앙초등학교,경기도 화성시 동탄대로시범길 117,37.1992057922,127.1113410058
B000024681,방교중학교,경기도 화성시 동탄산척로1길 23,37.1746732209,127.1016213348
B000024682,여울초등학교,경기도 화성시 동탄감배산로 95,37.1950916043,127.0888603879
B000024683,서연고등학교,경기도 화성시 동탄대로4가길 6,37.1608331957,127.1114699742
B000024685,청림중학교,경기도 화성시 동탄산척로 94,37.1718211494,127.1113911937
B000024686,청목초등학교,경기도 화성시 동탄순환대로21길 10,37.1956205006,127.1175905009
B000024688,화성세정중학교,경기도 화성시 동탄순환대로12길 60,37.1671949313,127.1247622713
B000024689,예솔초등학교,경기도 화성시 동탄순환대로22길 13,37.1965547049,127.1193773977
B000024693,서연중학교,경기도 화성시 동탄대로4길 40,37.1608652206,127.1102421785
B000024694,왕배초등학교,경기도 화성시 동탄대로12길 101,37.1800942036,127.1135681277
B000024696,한율초등학교,경기도 화성시 동탄순환대로 429-10,37.1861897879,127.1225952900
B000024697,동탄목동초등학교,경기도 화성시 동탄순환대로20길 10,37.1895220920,127.1245166201
B000024698,현민초등학교,경기도 화성시 동탄신리천로3길 11,37.1829055738,127.1301936188
B000024699,화성바른초등학교,경기도 화성시 동탄신동5길 7,37.1820587993,127.1391428176
B000024701,방교초등학교,경기도 화성시 동탄산척로1길 11,37.1733930891,127.1015829977
B000024702,청림초등학교,경기도 화성시 동탄산척로 93-22,37.1745974485,127.1113769750
B000024703,화성신동초등학교,경기도 화성시 동탄신동1길 11,37.1746574405,127.1301211753
B000024705,정현초등학교,경기도 화성시 동탄산척로 122,37.1716922411,127.1133180466
B000024707,세정초등학교,경기도 화성시 동탄순환대로12길 74,37.1667756173,127.1261384987
B000024709,호연초등학교,경기도 화성시 동탄대로3길 17-7,37.1630198346,127.1048699296
B000024710,이솔초등학교,경기도 화성시 동탄순환대로8길 26,37.1633694372,127.1097224833
B000024711,서연초등학교,경기도 화성시 동탄대로4가길 25,37.1597499775,127.1137618081
B000024715,화성반월고등학교,경기도 화성시 효행로 1281-66,37.2247880951,127.0551081946
B000024716,화성반월중학교,경기도 화성시 효행로 1281-76,37.2239105341,127.0542566755
B000024717,서경초등학교,경기도 화성시 동탄지성로 265,37.2171459411,127.0507911936
B000024718,화성반월초등학교,경기도 화성시 효행로 1281-23,37.2236409890,127.0593081111
B000024719,하길고등학교,경기도 화성시 향남읍 상신하길로274번길 22,37.1122007634,126.9102127367
B000024720,화담중학교,경기도 화성시 봉담읍 상리1길 166,37.2320564294,126.9428970333
B000024722,화담고등학교,경기도 화성시 봉담읍 상리1길 128,37.2294221623,126.9424316842
B000024723,수현중학교,경기도 화성시 봉담읍 상리3길 136,37.2265399282,126.9506253701
B000024724,수현초등학교,경기도 화성시 봉담읍 상리3길 110,37.2277011746,126.9502900422
B000024727,상신초등학교,경기도 화성시 향남읍 손개길 7,37.0991158619,126.8983742912
B000024728,화성상신중학교,경기도 화성시 향남읍 손개길 8,37.0980473867,126.8992042288
B000024730,신백중학교,경기도 화성시 남양읍 역골중앙로 56-6,37.2034395478,126.8302381813
B000024732,효행초등학교,경기도 화성시 봉담읍 와우로 16,37.2159929334,126.9682617704
B000024738,화원초등학교,경기도 화성시 향남읍 하길로 59,37.1116770110,126.9191535057
B000024739,하길초등학교,경기도 화성시 향남읍 상신하길로 273번길 45,37.1155958893,126.9041645106
B000024740,하길중학교,경기도 화성시 향남읍 상신하길로274번길 10,37.1122841189,126.9088501886
B000024747,예원초등학교,경기도 화성시 동탄반석로 259,37.2111550896,127.0761957736
B000024749,홍익디자인고등학교,경기도 화성시 효행로 387,37.2167915785,126.9796285316
B000024755,매홀고등학교,경기도 오산시 내삼미로80번길 9-10,37.1694565257,127.0688481196
B000024758,세미초등학교,경기도 오산시 내삼미로 127,37.1744789452,127.0643475040
B000026019,세마초등학교,경기도 오산시 세마문학로 45,37.1696687504,127.0275757672
B000026249,송린초등학교,경기도 화성시 수노을1로 253,37.2782203499,126.8241617486
B000026250,새솔초등학교,경기도 화성시 수노을1로 123,37.2891337392,126.8190325400
B000026263,송린중학교,경기도 화성시 수노을2로 148,37.2768127010,126.8223244488
B000026271,새솔고등학교,경기도 화성시 큰나래3길 25,37.2736356427,126.8295040146
B000026546,다온초등학교,경기도 오산시 부산중앙로 37,37.1519751440,127.0908844972
B000027252,청연초등학교,경기도 화성시 비봉면 새비봉서로 68,37.2464867987,126.8673476954
B000027254,신남초등학교,경기도 화성시 남양읍 화성시청역로 2,37.1913791911,126.8176580059
B000027255,청연중학교,경기도 화성시 비봉면 새비봉남로 14,37.2421599684,126.8741035552
B000030436,새봄초등학교,경기도 화성시 병점노을로 19,37.2012901061,127.0298465979
B000030564,와우고등학교,경기도 화성시 봉담읍 동화서북안길 5,37.2196221664,126.9675036583
B000030715,내리숲초등학교,경기도 화성시 봉담읍 삼봉안1길 21-7,37.2260171085,126.9240603922
