학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000004697,신산초등학교,초등학교,1926-04-07,공립,본교,운영,경기도 파주시 광탄면 신산리 199,경기도 파주시 광탄면 심궁로 13,7530000,경기도교육청,7681000,경기도파주교육지원청,2013-11-29,2025-07-01,37.7805903624,126.8523187039,2025-09-22
B000004657,송양초등학교,초등학교,1950-04-01,공립,본교,운영,경기도 의정부시 낙양동 753,경기도 의정부시 송양로 49,7530000,경기도교육청,7561000,경기도의정부교육지원청,2013-11-29,2025-07-01,37.7531691988,127.1121282016,2025-09-22
B000003909,각골초등학교,초등학교,2002-03-01,공립,본교,운영,경기도 안산시 상록구 본오동 728-6,경기도 안산시 상록구 석호로 384,7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,2025-07-01,37.2926143376,126.8730991316,2025-09-22
B000009425,청북중학교,중학교,1972-03-03,공립,본교,운영,경기도 평택시 청북읍 토진리 70-5,경기도 평택시 청북읍 건의길 46,7530000,경기도교육청,7631000,경기도평택교육지원청,2013-11-29,2025-07-01,37.0425557940,126.9473659645,2025-09-22
B000009346,죽전중학교,중학교,2000-10-02,공립,본교,운영,경기도 용인시 수지구 죽전동 873-4,경기도 용인시 수지구 용구대로2771번길 15,7530000,경기도교육청,7751000,경기도용인교육지원청,2013-11-29,2025-07-01,37.3323747465,127.1075743207,2025-09-22
B000004541,지도초등학교,초등학교,1996-12-01,공립,본교,운영,경기도 고양시 덕양구 화정동 1132,경기도 고양시 덕양구 성신로 49,7530000,경기도교육청,7621000,경기도고양교육지원청,2013-11-29,2025-07-01,37.6282812216,126.8337991519,2025-09-22
B000004711,적서초등학교,초등학교,1949-05-10,공립,본교,운영,경기도 파주시 적성면 식현리 54-1,경기도 파주시 적성면 적서초교길 3,7530000,경기도교육청,7681000,경기도파주교육지원청,2013-11-29,2025-07-01,37.9510465636,126.8969795784,2025-09-22
B000004658,민락초등학교,초등학교,1999-09-01,공립,본교,운영,경기도 의정부시 민락동 692-2,경기도 의정부시 용현로159번길 26,7530000,경기도교육청,7561000,경기도의정부교육지원청,2013-11-29,2025-07-01,37.7421330088,127.0948654376,2025-09-22
B000004669,석곶초등학교,초등학교,2005-12-01,공립,본교,운영,경기도 파주시 동패동 1700,경기도 파주시 책향기로 451,7530000,경기도교육청,7681000,경기도파주교육지원청,2013-11-29,2025-07-01,37.7251103445,126.7219550768,2025-09-22
B000003867,관양초등학교,초등학교,1948-04-01,공립,본교,운영,경기도 안양시 동안구 관양동 1407,경기도 안양시 동안구 관평로336번길 23,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-07-01,37.4060751046,126.9598819368,2025-09-22
B000004487,정발초등학교,초등학교,1993-03-01,공립,본교,운영,경기도 고양시 일산동구 마두동 758,경기도 고양시 일산동구 강송로 190,7530000,경기도교육청,7621000,경기도고양교육지원청,2013-11-29,2025-07-01,37.6557850064,126.7837619446,2025-09-22
B000022819,내손고등학교,고등학교,2025-03-01,공립,본교,운영,경기도 의왕시 내손동 846-2,경기도 의왕시 내손순환로 51,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3847776475,126.9783907823,2025-09-22
B000030579,포담초등학교,초등학교,2022-03-01,공립,본교,운영,경기도 포천시 영중면 양문리 878-5,경기도 포천시 영중면 양문로 163,7530000,경기도교육청,7711000,경기도포천교육지원청,2013-11-29,2025-07-01,38.0069529262,127.2455037692,2025-09-22
